2023-10-08 17:48:52.491 | DEBUG    | __main__:local_exec:27 - cmd: rm -rf dist && python setup.py bdist_wheel
2023-10-08 17:59:22.369 | DEBUG    | __main__:local_exec:27 - cmd: sshpass -p lnjoying ssh-copy-id -o StrictHostKeyChecking=no root@192.168.11.32
2023-10-08 17:59:46.127 | DEBUG    | __main__:local_exec:27 - cmd: rm -rf dist && python setup.py bdist_wheel
2023-10-08 17:59:46.742 | DEBUG    | __main__:local_exec:27 - cmd: find /root/work/nextstack/agents/third_party/ovs/rpms -name 'openvswitch-3.2.0-*.x86_64.rpm'
2023-10-08 17:59:46.747 | DEBUG    | __main__:local_exec:27 - cmd: sshpass -p lnjoying ssh-copy-id -o StrictHostKeyChecking=no root@192.168.11.32
2023-10-08 17:59:47.099 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'systemctl disable firewalld'
2023-10-08 17:59:47.683 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'systemctl stop firewalld'
2023-10-08 17:59:48.022 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'setenforce 0'
2023-10-08 17:59:48.301 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'sed -i -E "s/^\s*SELINUX=.*/SELINUX=disabled/g" /etc/selinux/config'
2023-10-08 17:59:48.595 | DEBUG    | __main__:local_exec:27 - cmd: scp -o StrictHostKeyChecking=no -r /tmp/90-dns-none.conf root@192.168.11.32:/etc/NetworkManager/conf.d/90-dns-none.conf
2023-10-08 17:59:48.954 | DEBUG    | __main__:local_exec:27 - cmd: rm -f /tmp/90-dns-none.conf
2023-10-08 17:59:48.961 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'systemctl reload NetworkManager'
2023-10-08 17:59:49.331 | DEBUG    | __main__:local_exec:27 - cmd: scp -o StrictHostKeyChecking=no -r /tmp/resolv.conf root@192.168.11.32:/etc/resolv.conf
2023-10-08 17:59:49.681 | DEBUG    | __main__:local_exec:27 - cmd: rm -f /tmp/resolv.conf
2023-10-08 17:59:49.688 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'cd /etc/yum.repos.d && find . -name "*.repo" |grep -v Sources# | xargs sed -i -E -e "s!^mirrorlist=!#mirrorlist=!g" -e "s!^#baseurl=http://mirror.centos.org/.contentdir!baseurl=https://mirrors.aliyun.com/centos!g"'
2023-10-08 17:59:49.994 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'sed -i -E "s!^enabled=.*!enabled=1!g" /etc/yum.repos.d/CentOS-Stream-PowerTools.repo'
2023-10-08 17:59:50.339 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'yum install -y epel-release vim-enhanced net-tools'
2023-10-08 18:00:06.605 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'cd /etc/yum.repos.d && sed -i "s!^#baseurl=https://download.example/pub!baseurl=https://mirrors.aliyun.com!" epel*'
2023-10-08 18:00:06.882 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'cd /etc/yum.repos.d && sed -i "s!^metalink!#metalink!" epel*'
2023-10-08 18:00:07.151 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'yum update -y'
2023-10-08 18:11:41.815 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'yum makecache'
2023-10-08 18:11:47.762 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'rpm -e --nodeps python39'
2023-10-08 18:11:48.146 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'yum install -y python39'
2023-10-08 18:11:54.576 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'rm -rf /opt/.v3.9'
2023-10-08 18:11:55.168 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 '/usr/bin/python3.9 -m venv /opt/.v3.9'
2023-10-08 18:11:58.103 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'source /opt/.v3.9/bin/activate && pip install pip wheel setuptools -i https://pypi.tuna.tsinghua.edu.cn/simple'
2023-10-08 18:11:59.068 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'grep -F "export PATH=/opt/.v3.9/bin:\$PATH" ~/.bashrc'
2023-10-08 18:11:59.304 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'echo -e "export PATH=/opt/.v3.9/bin:\$PATH" >> ~/.bashrc'
2023-10-08 18:11:59.545 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'grep -F "source /opt/.v3.9/bin/activate" ~/.bashrc'
2023-10-08 18:11:59.778 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'grep -F "export LANG=en_US.UTF-8" ~/.bashrc'
2023-10-08 18:12:00.013 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'echo -e "export LANG=en_US.UTF-8" >> ~/.bashrc'
2023-10-08 18:12:00.246 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'grep -F "set -o vi" ~/.bashrc'
2023-10-08 18:12:00.481 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'grep -F "alias vi=vim" ~/.bashrc'
2023-10-08 18:12:00.713 | DEBUG    | __main__:local_exec:27 - cmd: scp -o StrictHostKeyChecking=no -r /root/work/nextstack/agents/nextstack/dist/nextstack-6.1-py3-none-any.whl root@192.168.11.32:/tmp
2023-10-08 18:12:00.953 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'source /opt/.v3.9/bin/activate && pip install /tmp/nextstack-6.1-py3-none-any.whl -i https://pypi.tuna.tsinghua.edu.cn/simple'
2023-10-08 18:12:24.458 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'rm -rf /tmp/nextstack-6.1-py3-none-any.whl'
2023-10-08 18:12:24.693 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'mkdir -p /opt/nextstack/{bin,db,log}'
2023-10-08 18:12:24.930 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'systemctl stop lnjoying-nbd.service'
2023-10-08 18:12:25.167 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'systemctl stop dnsmasq.service'
2023-10-08 18:12:25.410 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'systemctl disable dnsmasq.service'
2023-10-08 18:12:25.850 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'killall -9 dnsmasq'
2023-10-08 18:12:27.096 | DEBUG    | __main__:local_exec:27 - cmd: scp -o StrictHostKeyChecking=no -r /root/work/nextstack/agents/nextstack/bin root@192.168.11.32:/opt/nextstack/
2023-10-08 18:12:27.428 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'grep -F "alias cdd=\"cd /opt/nextstack\"" ~/.bashrc'
2023-10-08 18:12:27.662 | WARNING  | __main__:config_pxe:419 - pxeagent_ip is not set, use host 192.168.11.32
2023-10-08 18:12:27.665 | DEBUG    | __main__:local_exec:27 - cmd: scp -o StrictHostKeyChecking=no -r /tmp/ndeploy.pxeagent.yml root@192.168.11.32:/opt/nextstack/config.pxe.yml
2023-10-08 18:12:27.903 | DEBUG    | __main__:local_exec:27 - cmd: rm -f /tmp/ndeploy.pxeagent.yml
2023-10-08 18:12:27.908 | DEBUG    | __main__:local_exec:27 - cmd: scp -o StrictHostKeyChecking=no -r /root/work/nextstack/agents/nextstack/scripts/lnjoying-pxeagent.service root@192.168.11.32:/usr/lib/systemd/system/
2023-10-08 18:12:28.148 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'yum install -y samba'
2023-10-08 18:12:32.139 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'systemctl enable smb && systemctl start smb'
2023-10-08 18:12:32.594 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.32 'chmod 644 /usr/lib/systemd/system/lnjoying-pxeagent.service && systemctl enable lnjoying-pxeagent.service && systemctl start lnjoying-pxeagent.service'
2023-10-08 20:26:25.900 | DEBUG    | __main__:local_exec:27 - cmd: rm -rf dist && python setup.py bdist_wheel
2023-10-08 20:26:26.361 | DEBUG    | __main__:local_exec:27 - cmd: find /root/work/nextstack/agents/third_party/ovs/rpms -name 'openvswitch-3.2.0-*.x86_64.rpm'
2023-10-08 20:26:26.368 | DEBUG    | __main__:local_exec:27 - cmd: sshpass -p lnjoying ssh-copy-id -o StrictHostKeyChecking=no root@192.168.11.99
2023-10-08 20:26:26.850 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'systemctl disable firewalld'
2023-10-08 20:26:27.158 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'systemctl stop firewalld'
2023-10-08 20:26:27.324 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'setenforce 0'
2023-10-08 20:26:27.479 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'sed -i -E "s/^\s*SELINUX=.*/SELINUX=disabled/g" /etc/selinux/config'
2023-10-08 20:26:27.635 | DEBUG    | __main__:local_exec:27 - cmd: scp -o StrictHostKeyChecking=no -r /tmp/90-dns-none.conf root@192.168.11.99:/etc/NetworkManager/conf.d/90-dns-none.conf
2023-10-08 20:26:27.803 | DEBUG    | __main__:local_exec:27 - cmd: rm -f /tmp/90-dns-none.conf
2023-10-08 20:26:27.808 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'systemctl reload NetworkManager'
2023-10-08 20:26:28.030 | DEBUG    | __main__:local_exec:27 - cmd: scp -o StrictHostKeyChecking=no -r /tmp/resolv.conf root@192.168.11.99:/etc/resolv.conf
2023-10-08 20:26:28.220 | DEBUG    | __main__:local_exec:27 - cmd: rm -f /tmp/resolv.conf
2023-10-08 20:26:28.245 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'cd /etc/yum.repos.d && find . -name "*.repo" |grep -v Sources# | xargs sed -i -E -e "s!^mirrorlist=!#mirrorlist=!g" -e "s!^#baseurl=http://mirror.centos.org/.contentdir!baseurl=https://mirrors.aliyun.com/centos!g"'
2023-10-08 20:26:28.436 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'sed -i -E "s!^enabled=.*!enabled=1!g" /etc/yum.repos.d/CentOS-Stream-PowerTools.repo'
2023-10-08 20:26:28.591 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'yum install -y epel-release vim-enhanced net-tools'
2023-10-08 20:27:09.291 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'cd /etc/yum.repos.d && sed -i "s!^#baseurl=https://download.example/pub!baseurl=https://mirrors.aliyun.com!" epel*'
2023-10-08 20:27:09.455 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'cd /etc/yum.repos.d && sed -i "s!^metalink!#metalink!" epel*'
2023-10-08 20:27:09.616 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'yum update -y'
2023-10-08 20:27:24.884 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'yum makecache'
2023-10-08 20:27:31.499 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'rpm -e --nodeps python39'
2023-10-08 20:27:31.663 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'yum install -y python39'
2023-10-08 20:27:39.529 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'rm -rf /opt/.v3.9'
2023-10-08 20:27:39.689 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 '/usr/bin/python3.9 -m venv /opt/.v3.9'
2023-10-08 20:27:42.223 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'source /opt/.v3.9/bin/activate && pip install pip wheel setuptools -i https://pypi.tuna.tsinghua.edu.cn/simple'
2023-10-08 20:27:43.212 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'grep -F "export PATH=/opt/.v3.9/bin:\$PATH" ~/.bashrc'
2023-10-08 20:27:43.371 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'echo -e "export PATH=/opt/.v3.9/bin:\$PATH" >> ~/.bashrc'
2023-10-08 20:27:43.527 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'grep -F "source /opt/.v3.9/bin/activate" ~/.bashrc'
2023-10-08 20:27:43.684 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'echo -e "source /opt/.v3.9/bin/activate" >> ~/.bashrc'
2023-10-08 20:27:43.840 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'grep -F "export LANG=en_US.UTF-8" ~/.bashrc'
2023-10-08 20:27:43.997 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'echo -e "export LANG=en_US.UTF-8" >> ~/.bashrc'
2023-10-08 20:27:44.152 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'grep -F "set -o vi" ~/.bashrc'
2023-10-08 20:27:44.309 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'echo -e "set -o vi" >> ~/.bashrc'
2023-10-08 20:27:44.464 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'grep -F "alias vi=vim" ~/.bashrc'
2023-10-08 20:27:44.620 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'echo -e "alias vi=vim" >> ~/.bashrc'
2023-10-08 20:27:44.777 | DEBUG    | __main__:local_exec:27 - cmd: scp -o StrictHostKeyChecking=no -r /root/work/nextstack/agents/third_party/ovs/rpms/x86_64/openvswitch-3.2.0-1.el8.x86_64.rpm root@192.168.11.99:/tmp
2023-10-08 20:27:44.978 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'yum install -y /tmp/openvswitch-3.2.0-1.el8.x86_64.rpm'
2023-10-08 20:27:50.434 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'rm -rf /tmp/openvswitch-3.2.0-1.el8.x86_64.rpm'
2023-10-08 20:27:50.594 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'systemctl enable openvswitch'
2023-10-08 20:27:50.849 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'systemctl start openvswitch'
2023-10-08 20:27:51.249 | DEBUG    | __main__:local_exec:27 - cmd: scp -o StrictHostKeyChecking=no -r /root/work/nextstack/agents/nextstack/dist/nextstack-6.1-py3-none-any.whl root@192.168.11.99:/tmp
2023-10-08 20:27:51.417 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'source /opt/.v3.9/bin/activate && pip install /tmp/nextstack-6.1-py3-none-any.whl -i https://pypi.tuna.tsinghua.edu.cn/simple'
2023-10-08 20:28:11.535 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'rm -rf /tmp/nextstack-6.1-py3-none-any.whl'
2023-10-08 20:28:11.695 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'mkdir -p /opt/nextstack/{bin,db,log}'
2023-10-08 20:28:11.853 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'systemctl stop lnjoying-nbd.service'
2023-10-08 20:28:12.013 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'systemctl stop dnsmasq.service'
2023-10-08 20:28:12.174 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'systemctl disable dnsmasq.service'
2023-10-08 20:28:12.337 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'killall -9 dnsmasq'
2023-10-08 20:28:13.507 | DEBUG    | __main__:local_exec:27 - cmd: scp -o StrictHostKeyChecking=no -r /root/work/nextstack/agents/nextstack/bin root@192.168.11.99:/opt/nextstack/
2023-10-08 20:28:13.952 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'grep -F "alias cdd=\"cd /opt/nextstack\"" ~/.bashrc'
2023-10-08 20:28:14.109 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'echo -e "alias cdd=\"cd /opt/nextstack\"" >> ~/.bashrc'
2023-10-08 20:28:14.267 | WARNING  | __main__:config_l3:563 - l3agent_ip is not set, use host 192.168.11.99
2023-10-08 20:28:14.267 | WARNING  | __main__:config_l3:578 - l3agent wan_ip is not set, use 192.168.11.100
2023-10-08 20:28:14.268 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'ip link show ens31f2'
2023-10-08 20:28:14.427 | DEBUG    | __main__:local_exec:27 - cmd: scp -o StrictHostKeyChecking=no -r /tmp/ifcfg-ens31f2 root@192.168.11.99:/etc/sysconfig/network-scripts/ifcfg-ens31f2
2023-10-08 20:28:14.590 | DEBUG    | __main__:local_exec:27 - cmd: rm -f /tmp/ifcfg-ens31f2
2023-10-08 20:28:14.594 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'nmcli connection reload'
2023-10-08 20:28:14.763 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'ip link show ens31f1'
2023-10-08 20:28:14.921 | DEBUG    | __main__:local_exec:27 - cmd: scp -o StrictHostKeyChecking=no -r /tmp/ifcfg-ens31f1 root@192.168.11.99:/etc/sysconfig/network-scripts/ifcfg-ens31f1
2023-10-08 20:28:15.084 | DEBUG    | __main__:local_exec:27 - cmd: rm -f /tmp/ifcfg-ens31f1
2023-10-08 20:28:15.088 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'nmcli connection reload'
2023-10-08 20:28:15.256 | DEBUG    | __main__:local_exec:27 - cmd: scp -o StrictHostKeyChecking=no -r /tmp/ndeploy.l3agent.yml root@192.168.11.99:/opt/nextstack/config.l3.yml
2023-10-08 20:28:15.420 | DEBUG    | __main__:local_exec:27 - cmd: rm -f /tmp/ndeploy.l3agent.yml
2023-10-08 20:28:15.424 | DEBUG    | __main__:local_exec:27 - cmd: scp -o StrictHostKeyChecking=no -r /root/work/nextstack/agents/nextstack/scripts/lnjoying-l3agent.service root@192.168.11.99:/usr/lib/systemd/system/
2023-10-08 20:28:15.588 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'chmod 644 /usr/lib/systemd/system/lnjoying-l3agent.service && systemctl enable lnjoying-l3agent.service && systemctl start lnjoying-l3agent.service'
2023-10-08 20:28:15.853 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'yum install -y libvirt virt-viewer virt-install libguestfs-tools'
2023-10-08 20:29:41.190 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'usermod --append --groups libvirt root'
2023-10-08 20:29:41.370 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'systemctl enable libvirtd'
2023-10-08 20:29:41.641 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'systemctl start libvirtd'
2023-10-08 20:29:41.897 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'yum install -y nbd'
2023-10-08 20:29:46.577 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'echo 'options nbd max_part=255' >/etc/modprobe.d/nbd.conf'
2023-10-08 20:29:46.735 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'echo 'nbd' >/etc/modules-load.d/nbd.conf'
2023-10-08 20:29:46.893 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'modprobe nbd'
2023-10-08 20:29:47.069 | DEBUG    | __main__:local_exec:27 - cmd: rm -f /tmp/lnjoying-nbd.service && cp /root/work/nextstack/agents/nextstack/scripts/lnjoying-nbd.service /tmp
2023-10-08 20:29:47.075 | DEBUG    | __main__:local_exec:27 - cmd: sed -i -E "s/--address=\S+/--address=0.0.0.0/g" /tmp/lnjoying-nbd.service
2023-10-08 20:29:47.079 | DEBUG    | __main__:local_exec:27 - cmd: sed -i -E "s/--port=\S+/--port=8000/g" /tmp/lnjoying-nbd.service
2023-10-08 20:29:47.084 | DEBUG    | __main__:local_exec:27 - cmd: scp -o StrictHostKeyChecking=no -r /tmp/lnjoying-nbd.service root@192.168.11.99:/usr/lib/systemd/system/
2023-10-08 20:29:47.250 | DEBUG    | __main__:local_exec:27 - cmd: ssh -o StrictHostKeyChecking=no root@192.168.11.99 'chmod 644 /usr/lib/systemd/system/lnjoying-nbd.service && systemctl enable lnjoying-nbd.service && systemctl start lnjoying-nbd.service'
2023-10-08 20:29:47.533 | DEBUG    | __main__:local_exec:27 - cmd: rm -f /tmp/lnjoying-nbd.service
2023-10-08 20:29:47.537 | WARNING  | __main__:config_vm:640 - vmagent_ip is not set, use 192.168.11.99
2023-10-08 20:29:47.538 | WARNING  | __main__:config_vm:650 - vmagent ha_ip is not set
2023-10-08 20:29:47.539 | DEBUG    | __main__:local_exec:27 - cmd: scp -o StrictHostKeyChecking=no -r /tmp/ndeploy.vmagent.yml root@192.168.11.99:/opt/nextstack/config.vm.yml
2023-10-08 20:29:47.705 | DEBUG    | __main__:local_exec:27 - cmd: rm -f /tmp/ndeploy.vmagent.yml
2023-10-08 20:29:47.710 | DEBUG    | __main__:local_exec:27 - cmd: scp -o StrictHostKeyChecking=no -r /root/work/nextstack/agents/nextstack/scripts/lnjoying-vmagent.service root@192.168.11.99:/usr/lib/systemd/system/
2023-10-08 20:29:47.875 | DEBUG    | __main__:local_exec:27 - cmd: cp /root/work/nextstack/agents/nextstack/scripts/lnjoying-novnc.service /tmp
2023-10-08 20:29:47.880 | DEBUG    | __main__:local_exec:27 - cmd: sed -i -E "s/tokens\/\S+\s+6090/tokens\/192.168.11.99 6090/" /tmp/lnjoying-novnc.service
2023-10-08 20:29:47.884 | DEBUG    | __main__:local_exec:27 - cmd: scp -o StrictHostKeyChecking=no -r /tmp/lnjoying-novnc.service root@192.168.11.99:/usr/lib/systemd/system/
2023-10-08 20:29:48.050 | DEBUG    | __main__:local_exec:27 - cmd: rm -f /tmp/lnjoying-novnc.service
